por	pob
O Medico , ou Cirurgiaõ determinará a quantidade de unguento para cada untura ; que huns enfermos carecem demais , e outros de menos , ou por causa da idade , ou da queixa , que padecem ; e naõ só costumaõ temperar o unguento de azougue com o rosado para os enfermos , que tem febre, mas ainda para muitos , que lhes parece conveniente ; e nesta fórma naõ toca ao Enfermeiro esta determinação , ainda que a experiencia lho ensine , que só o deve determinar quem tem obrigaçaõ de o saber .	O Médico, ou Cirurgião determinará a quantidade de unguento para cada untura; que uns enfermos carecem demais, e outros de menos, ou por causa da idade, ou da queixa, que padecem; e não só costumam temperar o unguento de azougue com o rosado para os enfermos, que tem febre, mas ainda para muitos, que lhes parece conveniente; e nesta forma não toca ao Enfermeiro esta determinação, ainda que a experiência lho ensine, que só o deve determinar quem tem obrigação de o saber.
SE o Medico mandar dar ao enfermo pedra bazar , enchereis huma colher de caldo de galinha , ou de agoa cordial , cuja colher será de prata , ou de outro metal , e nella lançareis a pedra em pó , a quantidade de hum , ou dous grãos de comer , ou a quantidade , que o Medico determinar ; e se for possivel , naõ chegue aos dentes do enfermo , quando a tomar ; e logo lhe dareis huma gota de caldo, ou de agoa cordial , para que leve toda para baixo .	Se o Médico mandar dar ao enfermo pedra bazar, enchereis uma colher de caldo de galinha, ou de água cordial, cuja colher será de prata, ou de outro metal, e nela lançareis a pedra em pó, a quantidade de um, ou dois grãos de comer, ou a quantidade, que o Médico determinar; e se for possível, não chegue aos dentes do enfermo, quando a tomar; e logo lhe dareis uma gota de caldo, ou de água cordial, para que leve toda para baixo.
Deve ter tambem grande cuidado o Enfermeiro de advertir aos enfermos , que estaõ com crescimento , estejaõ cubertos , pelo perigo de que o calor se lhe reconcentre para dentro , e se constipem os poros ; se se descobrem , de que se originaõ muitas vezes humas febres , a que os Médicos chamaõ lipirias , as quaes saõ mortaes .	Deve ter também grande cuidado o Enfermeiro de advertir aos enfermos, que estão com crescimento, estejam cobertos, pelo perigo de que o calor se lhe reconcentre para dentro, e se constipem os poros; se se descobrem, de que se originam muitas vezes umas febres, a que os Médicos chamam lipírias, as quais são mortais.
Milagre pareceo , que hum homem moço atracado com huma febre artentissima em tempo muito caloroso , & deitado sobre hum forno naõ morresse abrazado , tendo contra si tantos inimigos juntos , porèm como Deos tinha antevisto , que aquelle enfermo avia de escolher estado mais perfeito , fazendose Religioso de Saõ Jeronymo , se dignou darme luz para que conhecesse , que a resistencia da febre procedia do calor do forno ajudado da pequenhez da casa , & da ardencia das calmas ; & assentando eu que estas eraõ as causas , mandei q logo mudassem ao doente para aposento mais fresco , & lavado do ar ; & foy esta mudança taõ acertada , que dentro de poucos dias conseguio a saude que desejava , sem ser necessario outro remedio mais que humas ajudas de ameijoada , feitas de quatro onças de caldo de frangaõ cozido com cevada , alface , & farelos lavados , a que fiz ajuntar tres onças de agua de claras de ovos bem batidas , dandolhe ao romper dos dias huns caldos de farinha de avea , feitos em agua primeiro cozida com farelos , & pouquissimo assucar .	Milagre pareceu, que um homem moço atracado com uma febre ardentíssima em tempo muito caloroso, e deitado sobre um forno não morresse abrasado, tendo contra si tantos inimigos juntos, porém como Deus tinha antevisto, que aquele enfermo havia de escolher estado mais perfeito, fazendo-se Religioso de São Jerônimo, se dignou dar-me luz para que conhecesse, que a resistência da febre procedia do calor do forno ajudado da pequenhez da casa, e da ardência das calmas; e assentando eu que estas eram as causas, mandei que logo mudassem ao doente para aposento mais fresco, e lavado do ar; e foi esta mudança tão acertada, que dentro de poucos dias conseguiu a saúde que desejava, sem ser necessário outro remédio mais que umas ajudas de ameijoada, feitas de quatro onças de caldo de frangão cozido com cevada, alface, e farelos lavados, a que fiz ajuntar três onças de água de claras de ovos bem batidas, dando-lhe ao romper dos dias uns caldos de farinha de aveia, feitos em água primeiro cozida com farelos, e pouquíssimo açúcar.
Remedio quarto .	Remédio quarto.
SEndo os banhos muitos , e de differentes agoas, e cozimentos, e em differentes partes do corpo , porque huns saõ geraes , outros particulares, he preciso advertir alguma cousa em geral , para que com perfeição se appliquem , ainda que se naõ póde permeditar o genero de enfermidade, que se poderá offerecer.	Sendo os banhos muitos, e de diferentes águas, e cozimentos, e em diferentes partes do corpo, porque uns são gerais, outros particulares, é preciso advertir alguma coisa em geral, para que com perfeição se apliquem, ainda que se não pode premeditar o gênero de enfermidade, que se poderá oferecer.
Direi pois em primeiro lugar , que no pleuriz succede muitas vezes , que a dôr , ou a pontada no lado se naõ faz sentir logo des-de o acomettimento da doença , e que este symptoma tarda muitas horas , hum dia , e algumas vezes dous , ou tres para se manifestar , muitas vezes sentem os doentes duas pontadas ao mesmo tempo , huma de cada lado do peito , ou huma só , que passa alternativamente do lado direito para o esquerdo , ou do esquerdo para o direito : muitas vezes a dôr , ainda que fique no mesmo lado , muda de lugar , sóbe mais acima de que a mamma , encaminha-se para traz da espadoa ; he necessario pois attender a todas estas mudanças differentes , e observar , se os doentes se achaõ melhor com isso ; se succeder porém o contrário , isto he huma proxa , que a doença he de muito máo caracter , e deu huma volta muito má ; he precizo pois em tal caso dobrar cada hum a attençaõ , e não poupar as sangrias , e os outros auxilios .	Direi pois em primeiro lugar, que no Pleuris sucede muitas vezes, que a dor, ou a pontada no lado se não faz sentir logo desde o acometimento da doença, e que este sintoma tarda muitas horas, um dia, e algumas vezes dois, ou três para se manifestar, muitas vezes sentem os doentes duas pontadas ao mesmo tempo, uma de cada lado do peito, ou uma só, que passa alternativamente do lado direito para o esquerdo, ou do esquerdo para o direito: muitas vezes a dor, ainda que fique no mesmo lado, muda de lugar, sobe mais acima de que a mama, encaminha-se para trás da espádua; é necessário pois atender a todas estas mudanças diferentes, e observar, se os doentes se acham melhor com isso; se suceder porém o contrário, isto é uma prova, que a doença é de muito mau caráter, e deu uma volta muito má; é preciso pois em tal caso dobrar cada um a atenção, e não poupar as sangrias, e os outros auxílios.
He tambem muito , e muito preciso, que o Enfermeiro antes de dar a purga ao enfermo , lhe tome o pulso , e saiba como passou a noite ; porque muitas vezes succede mudarem-se as cezões , ou crescimento , e na hora , que o Medico tem determinado , e he costume , naõ ser conveniente , ou pela causa referida , ou por outros accidentes diversos de desmayo , suor , fraqueza , &c.	É também muito, e muito preciso, que o Enfermeiro antes de dar a purga ao enfermo, lhe tome o pulso, e saiba como passou a noite; porque muitas vezes sucede mudarem-se as sezões, ou crescimento, e na hora, que o Médico tem determinado, e é costume, não ser conveniente, ou pela causa referida, ou por outros acidentes diversos de desmaio, suor, fraqueza, etc.
He opiniaõ praticada pelo Cirurgiaõ Mór do nosso Hospital Real de Elvas Francisco Xavier , cuja sciencia he notoria .	É opinião praticada pelo Cirurgião Mór do nosso Hospital Real de Elvas Francisco Xavier, cuja ciência é notória.
Repetir-se-haõ estas applicações de hum instante a outro , taõ quentes , quanto o doente as puder supportar , tendo o cuidado de espremer bem com ambas as mãos o panno de lã , ou os barretes , para naõ molharem muito a cama do doente : poder-se-lhe-haõ fazer tomar nos primeiros quatro , ou cinco dias algumas mezinhas com o mesmo cozimento do N.º 4 principalmente se elles , para as tomar , se puderem pôr em huma situaçaõ , que os naõ fatigue muito .	Repetir-se-ão estas aplicações de um instante a outro, tão quentes, quanto o doente às puder suportar, tendo o cuidado de espremer bem com ambas as mãos o pano de lã, ou os barretes, para não molharem muito a cama do doente: poder-se-lhe-ão fazer tomar nos primeiros quatro, ou cinco dias algumas mesinhas com o mesmo cozimento do N.º 4 principalmente se eles, para as tomar, se puderem pôr em uma situação, que os não fatigue muito.
Eu attribuo os mesmos louvores aos pombos ; porque no sobredito Religioso , & em muitos doentes outros vi que fizeraõ effeitos , que parecèraõ milagrosos : & tenho para mim que se os pombos se puzessem vivos com as barrigas depenadas , fariaõ muito melhores obras , que quando se aplicaõ mortos ; porque tanto que esfriaõ , naõ aproveitaõ , porque já naõ attrahem , nem chamaõ para si o veneno.	Eu atribuo os mesmos louvores aos pombos; porque no sobredito Religioso, e em muitos doentes outros vi que fizeram efeitos, que pareceram milagrosos: e tenho para mim que se os pombos se pusessem vivos com as barrigas depenadas, fariam muito melhores obras, que quando se aplicam mortos; porque tanto que esfriam, não aproveitam, porque já não atraem, nem chamam para si o veneno.
E porque muitas vezes naõ ha evacuaçaõ manifesta , senaõ por insensivel transpiraçaõ , como mostra a experiencia , se daraõ as unturas atè naõ haver dores .	E porque muitas vezes não há evacuação manifesta, senão por insensível transpiração, como mostra a experiência, se darão as unturas até não haver dores.
Remedio sexto .	Remédio sexto.
E porque o doente tinha grande fastio , ordenei lhe missturassem em cada hum dos caldos oito , ou nove gottas de oleo de enxofre , ou aquellas que fossem necessarias para que o caldo ficasse agradavelmente azedo : não só porque este oleo incita muito o appetite do comer , & rebate a podridaõ dos humores ; mas porque corrobora muito o estomago , & reprime a qualidade venenosa , como dizem graves Authores.	E porque o doente tinha grande fastio, ordenei lhe misturassem em cada um dos caldos oito, ou nove gotas de óleo de enxofre, ou aquelas que fossem necessárias para que o caldo ficasse agradavelmente azedo: não só porque este óleo incita muito o apetite do comer, e rebate a podridão dos humores; mas porque corrobora muito o estômago, e reprime a qualidade venenosa, como dizem graves Autores.
Se a pezar do uso destes remedios continuassem os doentes a estar no mesmo estado de fraqueza , se o seu pulso fosse concentrado , e se se percebesse , que ae formava algum embaraço no cerebro , no peito , ou no baixo ventre , entaõ seria necessario sem perder tempo dár todos as quartos de hora huma colher da bebida do N. 27. , e applicar ás barrigas das pernas , ás côxas , e á nuca emplastros vesicatorios .	Se apesar do uso destes remédios continuassem os doentes a estar no mesmo estado de fraqueza, se o seu pulso fosse concentrado, e se se percebesse, que se formava algum embaraço no cérebro, no peito, ou no baixo ventre, então seria necessário sem perder tempo dar todos os quartos de hora uma colher da bebida do N. 27., e aplicar às barrigas das pernas, às coxas, e à nuca emplastros vesicatórios.
Se o enfermo recear vomitar a purga , lha dareis fria , ainda que seja de Inverno ; e em quanto o enfermo obrar , lhe naõ dareis de comer .	Se o enfermo recear vomitar a purga, lha dareis fria, ainda que seja de Inverno; e enquanto o enfermo obrar, lhe não dareis de comer.
Naõ he preciso que se levante o enfermo da cama para se lhe mudarem os lançoes , despir , e vestir outra camiza , que na prudencia do Enfermeiro deixo reservada a fórma , por evitar o extenso .	Não é preciso que se levante o enfermo da cama para se lhe mudarem os lençóis, despir, e vestir outra camisa, que na prudência do Enfermeiro deixo reservada a forma, por evitar o extenso.
He necessario naõ esperar , para dar estes vomitorios , que as accumulações de materias tenha chegado ao seu mais alto grão , que se tenha formado alguma estagnaçaõ , quero dizir , alguma collecçaõ de humores , algum embaraço no cerebro , no figado , no baixo ventre , ou no peito ; ou que os doentes tenhaõ perdido todas as suas forças , e se tenhaõ reduzido aos ultimos extremos .	É necessário não esperar, para dar estes vomitórios, que as acumulações de matérias tenha chegado ao seu mais alto grão, que se tenha formado alguma estagnação, quero dizer, alguma coleção de humores, algum embaraço no cérebro, no fígado, no baixo ventre, ou no peito; ou que os doentes tenham perdido todas as suas forças, e se tenham reduzido aos últimos extremos.
A mesma virtude tem hũ limaõ azedo assado , se nelle muito quente meterem o panaricio , como observei felicissimamente em certa senhora , ha quem visitei estando em hũa quinta ,  & porque naõ tive alli qualquer dos sobreditos oleos , lhe fiz meter o dedo no limaõ assado quasi fervendo , & repetindo esse remedio muitas vezes , sarou no mesmo dia com admiraçaõ dos circunstantes .	A mesma virtude tem um limão azedo assado, se nele muito quente meterem o panarício, como observei felicissimamente em certa senhora, há quem visitei estando em uma quinta, e porque não tive ali qualquer dos sobreditos óleos, lhe fiz meter o dedo no limão assado quase fervendo, e repetindo esse remédio muitas vezes, sarou no mesmo dia com admiração dos circunstantes.
Tomai de quinaquina verdadeira subtilissimamente polvorizada dez oitavas , do meu Bezoartico das febres malignas subtilissimamente polvorizado cinco oitavas , tudo se misture com duas camadas de agua da fonte , & em hum frasco se revolva , & vascoleje tudo muito bem , & desta bebida tome o doente em jejum meyo quartilho , & ao sol posto outro ; & deste modo mandei continuar até que a agua se acabasse ; & foy taõ feliz o effeito , que antes de cinco dias livrou do perigo , & sarou radicalmente .	Tomai de quinaquina verdadeira sutilissimamente polvorizada dez oitavas, do meu Bezoártico das febres malignas sutilissimamente polvorizado cinco oitavas, tudo se misture com duas camadas de água da fonte, e em um frasco se revolva, e vascoleje tudo muito bem, e desta bebida tome o doente em jejum meio quartilho, e ao sol posto outro; e deste modo mandei continuar até que a água se acabasse; e foi tão feliz o efeito, que antes de cinco dias livrou do perigo, e sarou radicalmente.
Remedio terceiro .	Remédio terceiro.
4. Neste aperto , (estando já o doente ungido , & o Medico desconfiado da sua vida ) me chamou o Padre Doutor Frey Gregório de Jesus , que era entaõ Prior do Convento , & dandome larga informaçaõ das queixas q o doente padecia ; ( porque ele já naõ estava capaz de me informar ) entendi que a febre, & todos os symptomas referidos procediaõ de enchimento do estomago , naõ sô porque o doente o confessava, em quanto esteve em seu acordo ; mas porque os sobreditos finaes o testimunhavaõ assim : & perguntando eu ao Reverendo Prior , & mais Religiosos , se o doente estava purgado , me respondéraõ que naõ , porque o Medico entendèra que as queixas do doente naõ tinhaõ a sua origem no estomago , mas nas veas , & que por essa causa julgàra por mais convenientes as sangrar , que a purga .	4. Neste aperto, (estando já o doente ungido, e o Médico desconfiado da sua vida) me chamou o Padre Doutor Frei Gregório de Jesus, que era então Prior do Convento, e dando-me larga informação das queixas que o doente padecia; (porque ele já não estava capaz de me informar) entendi que a febre, e todos os sintomas referidos procediam de enchimento do estômago, não só porque o doente o confessava, em quanto esteve em seu acordo; mas porque os sobreditos finais o testemunhavam assim: e perguntando eu ao Reverendo Prior, e mais Religiosos, se o doente estava purgado, me responderam que não, porque o Médico entendera que as queixas do doente não tinham a sua origem no estômago, mas nas veias, e que por essa causa julgara por mais convenientes as sangrar, que a purgados.
A quarta he , que as sangrias dos freneticos se assegurem mui bem com duas , ou tres ataduras ; porque com os continuos movimentos , & forças que fazem , se lhes póde soltar o sangue , & amanhecerem esgotados , & mortos , como já succedeo a hum homem morador na Pampulha .	A quarta é, que as sangrias dos frenéticos se assegurem muito bem com duas, ou três ataduras; porque com os contínuos movimentos, e forças que fazem, se lhes pode soltar o sangue, e amanhecerem esgotados, e mortos, como já sucedeu a um homem morador na Pampulha.
De Inverno se lhes ha de dar morna , principalmente aos que tiverem achaque no peito , ou pleuriz .	De Inverno se lhes há de dar morna, principalmente aos que tiverem achaque no peito, ou pleuris.
Ha tambem huma segunda especie de pleuriz , que se chama falso , para o distinguir do verdadeiro , puramente inflammatorio , que tem o seu assento no bofe ; em lugar , que este naõ ataca ordinariamente se naõ a pelle , e os musculos do peito ; isto he a fallar propriamente huma dôr rheumatica , que se lança sobre estas partes , e que produz nellas dôres muito vivas ; deve-se tratar pois esta especie , como o rheumatismo ; eis-aqui porque se a febre fôr forte , o pulso cheio , he precizo começar o tratamento por huma , ou duas sangrias assás largas , e applicar logo immediatamente sobre a parte dorida fomentações quentes feitas com o cozimento emolliente do N. 4. ; o que ordinariamente basta para moderar a dôr , e curar a doença , que se termina as mais das vezes ao quarto , ou ao quinto dia por hum suôr abundante ; porque he raro que esta doença passe além do setimo dia .	Há também uma segunda espécie de Pleuris, que se chama falso, para o distinguir do verdadeiro, puramente inflamatório, que tem o seu assento no bofe; em lugar, que este não ataca ordinariamente se não a pele, e os músculos do peito; isto é a falar propriamente uma dor reumática, que se lança sobre estas partes, e que produz nelas dores muito vivas; deve-se tratar pois esta espécie, como o reumatismo; eis-aqui porque se a febre for forte, o pulso cheio, é preciso começar o tratamento por uma, ou duas sangrias assaz largas, e aplicar logo imediatamente sobre a parte dorida fomentações quentes feitas com o cozimento emoliente do N. 4.; o que ordinariamente basta para moderar a dor, e curar a doença, que se termina as mais das vezes ao quarto, ou ao quinto dia por um suor abundante; porque é raro que esta doença passe além do sétimo dia.
Todas as bebidas , que tomarem de Veraõ , haõ de ser frias ; e de Inverno , quentes .	Todas as bebidas, que tomarem de Verão, hão de ser frias; e de Inverno, quentes.
Ha com tudo febres malignas , que saõ annunciadas muitos dias antes por hum numero de symptomas , que saõ correios , que vem diante dellas , taes como hum pulso lento , opprimido , huma lassidaõ acompanhada de tristeza , de fastio , hum pezo na bocca do estomago , a bocca grossa , a lingua , as gingivas , e os dentes cobertos de huma materia amarellada , glutinosa , e verdoenga ; assim se vaõ arrastando muitos dias os Marinheiros , tendo fastio a todo o alimento , até que chegaõ em fim a succumbir .	Há com tudo febres malignas, que são anunciadas muitos dias antes por um número de sintomas, que são correios, que vem diante delas, tais como um pulso lento, oprimido, uma lassidão acompanhada de tristeza, de fastio, um peso na boca do estômago, a boca grossa, a língua, as gengivas, e os dentes cobertos de uma matéria amarelada, glutinosa, e verdoenga; assim se vão arrastando muitos dias os Marinheiros, tendo fastio a todo o alimento, até que chegam enfim a sucumbir.
Os que experimentarem o que aqui digo da virtude destes remedios , assim , ou assim misturados , espero que naõ só se arrependaõ de aver dito mal deste modo de curar ; mas que acabe em gratificaçaõ , & louvor , o que começou por opprobrio , & descredito da minha pessoa .	Os que experimentarem o que aqui digo da virtude destes remédios, assim, ou assim misturados, espero que não só se arrependam de haver dito mal deste modo de curar; mas que acabe em gratificação, e louvor, o que começou por opróbrio, e descrédito da minha pessoa.
Tereis cuidado de procurar ao enfermo como obrou com elle , para informares o Medico na repetiçaõ .	Tereis cuidado de procurar ao enfermo como obrou com ele, para informares o Médico na repetição.
Lambedor como se ha de dar .	Lambedor como se há de dar.
O melhor meio para chegar a conseguir isto , he applicar sobre a parte , aonde estava a pontada huma cataplasma acre , e estimulante com o fermento , pimenta , e mostarda , ou a do N.º 9.	O melhor meio para chegar a conseguir isto, é aplicar sobre a parte, aonde estava a pontada uma cataplasma acre, e estimulante com o fermento, pimenta, e mostarda, ou a do N.º 9.
Saõ estes suores em muitas occasiões taõ copiosos , que nem com estas diligencias querem parar ; e como naõ saõ sussicientes para impedillos , costumaõ os Medicos mandar embarrar o tal enfermo .	São estes suores em muitas ocasiões tão copiosos, que nem com estas diligências querem parar; e como não são suficientes para impedi-los, costumam os Médicos mandar embarrar o tal enfermo.
Esta doença muitas vezes se manifesta muitos dias anticipadamente por incómmodos , pouca vontade de comer , bocca mal saborosa , dôres de rins , lassidões , pezo nos braços , e nas pernas , dôres de cabeça , fraquezas , agonias &c. &c.	Esta doença muitas vezes se manifesta muitos dias antecipadamente por incômodos, pouca vontade de comer, boca mal saborosa, dores de rins, lassidões, peso nos braços, e nas pernas, dores de cabeça, fraquezas, agonias etc. etc.
Nos primeiros dias da molestia , ou ella se augmente , ou ella esteja sempre no mesmo estado , devem-se dar ao doente só os remedios acima ditos , que ordinariamente bastaõ para lhe fazer tomar huma volta , ou mudança favoravel .	Nos primeiros dias da moléstia, ou ela se aumente, ou ela esteja sempre no mesmo estado, devem-se dar ao doente só os remédios acima ditos, que ordinariamente bastam para lhe fazer tomar uma volta, ou mudança favorável.
Dor de colica como se lhe ha de acudir na ausencia do Medico .	Dor de cólica como se lhe há de acudir na ausência do Médico.
Se a purga se der ao enfermo no principio do crescimento , ou cezaõ , lhe póde resultar gravissimo dano .	Se a purga se der ao enfermo no princípio do crescimento, ou sezão, lhe pode resultar gravíssimo dano.
Poder-se-hiaõ pois prevenir estas doenças , obrigando-os a observar a dieta , a tomar ár sobre o convez , dando-lhes o vomitorio do N. 21. , fazendo-lhes tomar depois duas , ou tres porções por dia dos pós do N.º I7. , limonada , ou agoa com vinagre ; porque se elles ficaõ debaixo dos convezes , aonde estaõ amontoados confusamente , principalmente quando a Equipagem he hum pouco numerosa , eis-ahi começaõ as emanações mefiticas , de que o ár , que elles respiraõ nestes lugares , está carregado , a inficionar toda a membrana pituitaria do nariz , dos seios da face , e dos bronquios ; dahi ellas se transportaõ para as tunicas do estomago ; o que causa em pouco tempo febres malignas , que se propagão , e pegaõ como por huma verdadeira innoculaçaõ , ou enxertia .	Poder-se-iam pois prevenir estas doenças, obrigando-os a observar a dieta, a tomar ar sobre o convés, dando-lhes o vomitório do N. 21., fazendo-lhes tomar depois duas, ou três porções por dia dos pós do N.º I7., limonada, ou água com vinagre; porque se eles ficam debaixo dos conveses, aonde estão amontoados confusamente, principalmente quando a Equipagem é um pouco numerosa, eis-aí começam as emanações mefíticas, de que o ar, que eles respiram nestes lugares, está carregado, a inficionar toda a membrana pituitária do nariz, dos seios da face, e dos brônquios; daí elas se transportam para as túnicas do estômago; o que causa em pouco tempo febres malignas, que se propagam, e pegam como por uma verdadeira inoculação, ou enxertia.
