&	e
continuaõ	continuam
continuas	contínuas
continuos	contínuos
contrahiráõ	contrairão
contraria	contrária
contrario	contrário
convenientissimo	convenientíssimo
convez	convés
convezes	conveses
cópo	copo
cópos	copos
côr	cor
coraçaõ	coração
cordeal	cordial
cordiaes	cordiais
correspondencia	correspondência
corrupçaõ	corrupção
cossegas	cócegas
costellas	costelas
costumaõ	costumam
costumão	costumam
costumavaõ	costumavam
cotovello	cotovelo
cousa	coisa
cousas	coisas
couza	coisa
couzas	coisas
cõvento	convento
côxas	coxas
credito	crédito
creditos	créditos
crefcimento	crescimento
cresceraõ	cresceram
cresciaõ	cresciam
crescim	crescimentos
criticos	críticos
cuberto	coberto
cubertos	cobertos
cubrirá	cobrirá
cuidar-se-ha	cuidar-se-á
çuja	suja
çumo	sumo
cumplices	cúmplices
curaõ	curam
cypreste	cipreste
dahi	daí
da-los	dá-los
damno	dano
damnosos	danosos
dandolhe	danosos
dandolhe	dando-lhe
dandolhes	dando-lhes
dandome	dando-me
daô	dão
daõ	dão
daõ-se	dão-se
daquellas	daquelas
daquelle	daquele
daquelles	daqueles
dár	dar
daraõ	darão
darlhe	dar-lhe
darlhos	dar-lhos
darme	dar-me
dar-se-ha	dar-se-á
dar-se-haõ	dar-se-ão
dar-se-lhe-ha	dar-se-lhe-á
dar-se-lhe-haõ	dar-se-lhe-ão
de pressa	depressa
debilitaõ	debilitam
declinaçaõ	declinação
degollassem	degolassem
deitaráõ	deitarão
deixaõ	deixam
deixaraõ	deixaram
deixar-se-haõ	deixar-se-ão
deliraõ	deliram
delirio	delírio
delirios	delírios
della	dela
dellas	delas
delle	dele
dellem	dessem
delles	deles
dem	deem
demaziadamente	demasiadamente
demostravaõ	demostravam
dendo	sendo
denotaõ	denotam
deos	deus
depositos	depósitos
depravaçaõ	depravação
deraõ	deram
desaffeiçoados	desafeiçoados
descredito	descrédito
descuberto	descoberto
des-de	desde
desiguaes	desiguais
desmayado	desmaiado
desmayar-se	desmaiar-se
desmayo	desmaio
despegaõ	despegam
despenhaõ	despenham
desprezaõ	desprezam
determinaçaõ	determinação
deveriõ	deveriam
deviaõ	deviam
diaforeticos	diaforéticos
diarrhéa	diarreia
diascordio	diascórdio
dicroto	dícroto
differem	diferem
differente	diferente
differentes	diferentes
difficultosa	dificultosa
difficultosamente	dificultosamente
dificil	difícil
dilataõ	dilatam
diligencia	diligência
diligencias	diligências
diminue	diminui
diminuiçaõ	diminuição
diminuido	diminuído
diminuirem	diminuírem
direy	direi
disgraças	desgraças
dispoem	dispõem
disposiçaõ	disposição
dissoluçaõ	dissolução
distigui-las	distingui-las
distinctivo	distintivo
dizir	dizer
doenças	doença
dontes	doentes
doontes	doentes
dòr	dor
dôr	dor
dôr	expô-los
dôres	dores
dous	dos
dous	dois
duraçaõ	duração
dysenterias	disenterias
eccos	ecos
effeito	efeito
effeitos	efeitos
efficacia	eficácia
efficazes	eficazes
eftas	estas
eftes	estes
eis-ahi	eis-aí
elevaçaõ	elevação
elhaõ	olham
ella	ela
ellas	elas
elle	ele
elles	eles
em fim	enfim
em fim	enfim
em quanto	enquanto
embaraçavase	embaraçava-se
embigo	umbigo
emetico	emético
eminentissimo	eminentíssimo
emolliente	emoliente
emollientes	emolientes
empiematico	empiemático
empollas	empolas
enbrulhados	embrulhados
encomendaõ	encomendam
encontraõ	encontram
encorporalla	incorporá-la
encorporar	incorporar
encorpore	incorpore
enfemo	enfermo
entaô	então
entaõ	então
entendèra	entendera
entraõ	então
entraõ	entram
enxagoada	enxaguada
enxagoar	enxaguar
enxagoará	enxaguará
epidemica	epidêmica
eraõ	eram
erão	compaixão
escalafrios	calafrios
escapaõ	escapam
escarraõ	escarram
escremento	excremento
escrevèraõ	escreveram
escropulos	escrópulos
escrupulo	escrúpulo
escusariaõ	escusariam
esfriaõ	esfriam
esgotaõ	esgota
espadoa	espádua
especie	espécie
especies	espécies
especificos	específicos
espirito	espírito
espiritos	espíritos
esquentaõ	esquentam
esquinencia	esquinência
essenciaes	essenciais
esstejaõ	estejam
esta	está
estagnaçaõ	estagnação
estaõ	estão
estáõ	estão
estaráõ	estarão
estavaõ	estavam
estejaõ	estejam
estimaçaõ	estimação
estomago	estômago
estomagos	estômagos
estouraõ	estouram
estylo	estilo
evacuaçaõ	evacuação
evacuaõ	evacuam
evidencia	evidência
evitay	evitai
exacerbaraõ	exacerbaram
exactamente	exatamente
examina-los	examiná-los
excederaõ	excederam
exercicio	exercício
exhalaõ	exalam
exhalarem	exalarem
expectoraçaõ	expectoração
experiencia	experiência
experiencias	experiências
experimentaõ	experimentam
expo-los	expô-los
exporáõ	exporão
expressaõ	expressão
extende	estende
extrahem	extraem
extrahidos	extraídos
fabricavaõ	fabricavam
facil	fácil
factivel	factível
facto	fato
fa-la	fá-la
fallando	falando
fallaõ	falam
fallar	falar
fallava	falava
familia	família
faraô	farão
fariaõ	fariam
far-se-ha	far-se-á
far-se-lhe-ha	far-se-lhe-á
favoraveis	favoráveis
favoravel	favorável
faze-las	fazê-las
fazendose	fazendo-se
fazerse	fazer-se
fecharaõ	fecharão
fecharlhe	fechar-lhe
fedo	cedo
fermentaçaõ	fermentação
ficaõ	ficam
ficaõ	ficão
figado	fígado
figillada	sigilada
finaes	finais
fínalizaõ	finalizam
fistulas	fístulas
fizem	fazem
fizeraõ	fizeram
fór	for
fòr	for
fôr	for
fóra	fora
foraõ	foram
fórma	forma
formidavel	formidável
formula	fórmula
fortidaõ	fortidão
foy	foi
frangaõ	frangão
frenesís	frenesis
freneticas	frenéticas
frenetico	frenético
freneticos	frenéticos
frey	frei
fructo	fruto
fructos	frutos
fugareiro	fogareiro
fugiraõ	fugiram
fumestas	funestas
furia	fúria
gabaõ	gabam
gallicados	galicados
gallico	gálico
gallo	galo
gallos	galos
genero	gênero
geraes	gerais
gingivas	gengivas
glandulas	glândulas
golfaõ	golfão
gottas	gotas
grandissima	grandíssima
grandissimas	grandíssimas
grandissimo	grandíssimo
graõ	grão
gráo	grão
gratificaçaõ	gratificação
gravissima	gravíssima
gravissimo	gravíssimo
gravissimos	gravíssimos
guiaráõ	guiarão
ha	há
hao	hão
haõ	hão
haviaõ	haviam
he	é
hemorrhagia	hemorragia
hemorrhagias	hemorragias
heterogeneo	heterogêneo
hia	ia
hiaõ	iam
Hipocrates	Hipócrates
Hippocrates	Hipócrates
hir	ir
hirá	irá
hiráõ	irão
hireis	ireis
hombro	ombro
hombros	ombros
hũ	um
hũa	uma
hũas	umas
hum	um
huma	uma
humas	umas
humectante	umectante
humidade	umidade
humido	úmido
huns	uns
hydropezia	hidropisia
hydropico	hidrópico
hydropicos	hidrópicos
identicos	idênticos
illuminados	iluminados
immediatamente	imediatamente
immediato	imediato
impedillos	impedi-los
impeto	ímpeto
importancia	importância
importariaõ	importariam
impossivel	impossível
in flammatoria	inflamatória
incansavel	incansável
incendio	incêndio
incendios	incêndios
incommodo	incômodo
incómmodos	incômodos
incostancia	inconstância
infalliveis	infalíveis
infallivel	infalível
infallivelmente	infalivelmente
infammatoria	inflamatória
infammatoria	infamatória
infelice	infeliz
inflammaçaõ	inflamação
inflammada	inflamada
inflammado	inflamado
inflammatoria	inflamatória
inflammatorio	inflamatório
inflammatorios	inflamatórios
informaçaõ	informação
informandome	informando-me
infusaõ	infusão
injurias	injúrias
innoculaçaõ	inoculação
innumeraveis	inumeráveis
insensiveis	insensíveis
insensivel	insensível
insoportavel	insuportável
inspizaçaõ	inspiração
instromento	instrumento
insusaõ	infusão
intermittente	intermitente
intermittentes	intermitentes
intervallo	intervalo
intoleravel	intolerável
inuteis	inúteis
inutil	inútil
irritaçaõ	irritação
ja	já
jà	já
janella	janela
janellas	janelas
Jeronymo	Jerônimo
Joaõ	João
judeos	judeus
juizo	juízo
julgàra	julgara
lambeder	lambedor
lambedôr	lambedor
lançaõ	lançam
lançar	lançar-lhe
lançaraõ	lançaram
lançaráõ	lançarão
lançarlhe	lançar-lhe
lançoes	lençóis
lançol	lençol
lassidaõ	lassidão
lavaráõ	lavarão
leitaõ	leitão
lembraraõ	lembrarão
lembrarse	lembrar-se
ligaçaõ	ligação
limaõ	limão
limaõ	vômito
lingua	língua
linguas	línguas
lipirias	lipírias
livida	seca
livraõ	livram
maçãas	maçãs
maçans	maçãs
machocada	machucada
maledicencia	maledicência
malicia	malícia
maligas	malignas
maligmas	malignas
mamma	mama
mandaõ	mandam
manefestado	manifestado
manifeita-se	manifesta-se
maõ	mão
máo	mau
máo	mão
máos	maus
marmello	marmelo
marmellos	marmelos
materia	matéria
materias	matérias
mayor	maior
mayores	maiores
mayormente	maiormente
mechendo	mexendo
medico	médico
medicos	médicos
mefiticas	mefíticas
mendozas	mendosas
mesenterio	mesentério
methodicamente	metodicamente
methodo	método
metta	meta
mettendo	metendo
mettendo-lhe	metendo-lhe
metter	meter
metterá	meterá
meya	meia
meyas	meias
meyo	meio
mezes	meses
mezinha	mesinha
mezinhas	mesinhas
ministerio	ministério
miseraveis	miseráveis
miserias	misérias
missturassem	misturassem
moidos	moídos
molestia	moléstia
molle	mole
mòr	mor
morbifica	morbífica
morraõ	morram
morrèraõ	morreram
mortaes	mortais
mostraraõ	mostraram
moviaõ	moviam
mudallo	mudá-lo
mui	muito
muitissimas	muitíssimas
multiplicavaõse	multiplicavam-se
musculos	músculos
musico	músico
muy	muito
naô	não
naõ	não
naquella	naquela
naquelle	naquele
naquelles	naqueles
nauseas	náuseas
necessaria	necessária
necessarias	necessárias
necessario	necessário
necessarios	necessários
necessitaõ	necessitam
nella	nela
nellas	nelas
nelle	nele
nelles	neles
ninguem	ninguém
nodoas	nódoas
notavel	notável
noticia	notícia
notoria	notória
numero	número
obedeceo	obedeceu
objectos	objetos
obrigaçaõ	obrigação
obserações	observações
observaçam	observação
observaçaõ	observação
observaõ	observam
observaõ-se	observam-se
observaráõ	observarão
obstinaçaõ	obstinação
obstrucções	obstruções
occasiaõ	ocasião
occasiões	ocasiões
occasionar	ocasionar
occidentaes	ocidentais
occulta	oculta
occupa	ocupa
occupe	ocupe
offender	ofender
offendiaõ	ofendiam
offerece	oferece
offerecer	oferecer
officio	oficio
oleo	óleo
oleos	óleos
opiniaõ	opinião
opponha	oponha
opposta	oposta
oppressaõ	opressão
oppressões	opressões
opprimido	oprimido
opprimidos	oprimidos
opprobrio	opróbrio
oraculos	oráculos
ordinaria	ordinária
ordinariamerte	ordinariamente
ordinarias	ordinárias
ordinario	ordinário
organicas	orgânicas
orgãos	órgãos
orientaes	orientais
originaõ	originam
ouçaõ	ouçam
ourina	urina
ourinaõ	urinam
ourinas	urinas
ourinava	urinava
ouvesse	houvesse
padeceriaõ	padeceriam
paixaõ	paixão
paizes	países
pallido	pálido
pallidos	pálidos
panaricio	panarício
panaricios	panarícios
pancreas	pâncreas
panella	panela
panno	pano
pannos	panos
paõ	pão
páo	pau
páo	pão
paozinho	pãozinho
pára	para
paraõ	param
parecendolhe	parecendo-lhe
pareceo	pareceu
parecèraõ	pareceram
passaraõ	passaram
patria	pátria
pays	pais
pegaõ	pegam
pelle	pele
penna	pena
perde-lo	perdê-lo
perguntaraõ	perguntaram
perguntavão	perguntavam
perigaraõ	perigarão
periodos	períodos
peripncumonia	peripneumonia
permeditar	premeditar
persuadio	persuadiu
perturbavaõse	perturbavam-se
pès	pés
pestilenciaes	pestilenciais
pestilentes	pestilentos
pezada	pesada
pezar	pesar
pezo	peso
pituitaria	pituitária
plenriz	pleuris
pleuriz	pleuris
póde	pode
póde	pôde
pódem	pálidos
pódem	podem
pódem	vomitório
poderaõ	poderão
poderáõ	poderão
poder-se-hiaõ	poder-se-iam
poder-se-lhe-haõ	poder-se-lhe-ão
póde-se	pode-se
podiaõ	podiam
podridaõ	podridão
polvorizados	pulverizados
polvorizar	pulverizar
ponhaõ	ponham
pór	por
porçaõ	porção
porèm	porém
pôrem	porém
póros	poros
porque	porquê
pôr-se-ha	pôr-se-á
por-se-haõ	pôr-se-ão
pôr-se-haõ	pôr-se-ão
pòs	pós
põs	pôs
possaõ	possam
possivel	possível
pouquissimo	pouquíssimo
praticalla	praticá-la
precipicios	precipícios
precizo	preciso
preferencia	preferência
preferir-se-hia	preferir-se-ia
prejuizo	prejuízo
preoccupaçaõ	preocupação
pressa	depressa
prevençaõ	prevenção
primeras	primeiras
primero	primeiro
principe	príncipe
principio	princípio
principios	princípios
procediaõ	procediam
procuraõ	procuram
prognostico	prognóstico
prohibirá	proibirá
prohibissem	proibissem
prompta	pronta
promptamente	prontamente
propagão	propagam
proposito	propósito
propria	própria
proprio	próprio
prostracçaõ	prostração
provaõ	provam
provecar-se-ha	provocar-se-á
proxa	prova
prudencia	prudência
pucaro	púcaro
puchar-lhe	puxar-lhe
pulfo	pulso
pullo	pulo
pulsaçaõ	pulsação
punctoria	punctória
purgallo	purgá-lo
purgarse	purgar-se
purgar-se-ha	purgar-se-á
purgar-se-haõ	purgar-se-ão
puz	pus
puzessem	pusessem
q	que
qae	que
quãdo	quando
quaes	quais
quaesquer	quaisquer
quam	quão
quanto	enquanto
quasi	quase
queixandose	queixando-se
queixaõ	queixam
queixaõ-se	queixam-se
quiz	quis
quizerem	quiserem
quotidiana	cotidiana
razaõ	razão
recahem	recaem
recahida	recaída
recahir	recair
reçaõ	ração
recebèraõ	receberam
receyo	receio
recommendar	recomendar
refrigerio	refrigério
remedio	remédio
remedios	remédios
remittentes	remitentes
rendaõ	rendam
renitencia	renitência
repetiaõ	repetiam
repetiçaõ	repetição
repetilla	repeti-la
repetir-se-ha	repetir-se-á
repetir-se-haõ	repetir-se-ão
repitao	repitam
reprovaô	reprovam
resistencia	resistência
resoluçaõ	resolução
respiraçaõ	respiração
respiraõ	respiram
respondéraõ	responderam
restabeleçaõ	restabeleçam
restabelece-las	restabelecê-las
restitue	restitui
retrahidas	retraídas
retumbaõ	retumbam
revulsorios	revulsórios
reyno	reino
rheumatica	reumática
rheumatismo	reumatismo
sabellos	sabê-los
sahe	sai
sahem	saem
sahiaõ	saiam
sahida	saída
sahio	saiu
sahir	sair
sahirem	saírem
sahisse	saísse
salutifera	salutífera
salutiferos	salutíferos
sam	são
sangrallo	sangrá-lo
sangraõ	sangram
sanguinea	sanguínea
sanguineos	sanguíneos
sanguisugas	sanguessugas
sao	são
saó	são
saõ	são
saudavel	saudável
saude	saúde
saüde	saúde
sciencia	ciência
secca	seca
secco	seco
seculos	séculos
sedentaria	sedentária
seguese	segue-se
sejaõ	sejam
semicupio	semicúpio
semicupios	semicúpios
senaõ	senão
sentirse	sentir-se
serampo	sarampo
seraõ	serão
seriaõ	seriam
serviraõ	servirão
setimo	sétimo
sezaõ	sezão
signaes	sinas
signaes	sinais
signal	sinal
sima	cima
similhante	semelhante
similhantes	semelhantes
simplez	simples
sinaes	sinais
sinco	cinco
situaçaõ	situação
so	só
sô	só
sóbe	sobe
sobejaõ	sobejam
sobresaltos	sobressaltos
sobrevivaõ	sobrevivam
soccorridos	socorridos
soccorro	socorro
socego	sossego
soffrer	sofrer
sómente	somente
somnolentos	sonolentos
subaõ	subam
substancia	substância
substistir	subsistir
subtilissimamente	sutilissimamente
succeda	suceda
succede	sucede
succedem	sucedem
succedeo	sucedeu
succeder	suceder
succederaõ	sucederam
succedesse	sucedesse
succedido	sucedido
succedidos	sucedidos
successivamente	sucessivamente
successo	sucesso
successos	sucessos
succos	sucos
succumbir	sucumbir
suffocados	sufocados
Suissia	Suíça
summo	sumo
suôr	suor
suôres	suores
suppondo	supondo
supportar	suportar
supposiçaõ	suposição
supposto	suposto
suppra	supra
supprir	suprir
suppuraçaõ	supuração
suppurar	supurar
sussicientes	suficientes
sustentaõ	sustentam
sustentar-se-haõ	sustentar-se-ão
symptoma	sintoma
symptomas	sintomas
taboa	tábua
taes	tais
tam	tão
tambem	também
tanto	portanto
taõ	tão
tartaro	tártaro
tedio	tédio
te-los	tê-los
temerario	temerário
temiamos	temíamos
tenhaõ	tenham
terçãa	terçã
terçans	terçãs
tercianarios	tercianários
teriaõ	teriam
terminaçaõ	terminação
terminaõ	terminam
testiculos	testículos
testimunhavaõ	testemunhavam
tezo	teso
theriaga	teriaga
theriaga	teriagas
tibia	tíbia
tifana	tisana
tinctos	tintos
tinhaõ	tinham
tira-los	tirá-los
tiraõ	tiram
tiraraõ	tirarão
tirarlhes	tirar-lhes
tisico	tísico
tomaõ	tomam
tomaráõ	tomarão
tomàraõ	tomaram
tomo	como
tornaõ	tornam
tornar-se-ha	tornar-se-á
transpiraçaõ	transpiração
transportaõ	transportam
trarquilidade	tranquilidade
t'ratando	tratando
trataõ	tratam
traz	trás
tres	três
trez	vinténs
trez	três
tunicas	túnicas
ultimas	últimas
ultimos	últimos
ungillo	ungi-lo
unica	única
unico	único
usaõ	usam
util	útil
utilissimos	utilíssimos
vaõ	vão
variaçaõ	variação
variaõ	variam
varios	vários
vay	vai
veas	veias
vêas	veias
vède	vede
vêde	vede
vê-de	vede
vegetaes	vegetais
venhaõ	venham
veraõ	verão
vermelhidaõ	vermelhidão
vertebras	vértebras
vesicatorio	vesicatório
vesicatorios	vesicatórios
vestirlhe	vestir-lhe
veya	veia
veyo	veio
vezês	vezes
vicio	vício
vintens	vinténs
violencia	violência
viraõ	viram
vitriolo	vitríolo
viveo	viveu
volateis	voláteis
vomicas	vômicas
vomitaõ	vomitam
vomito	vômito
vomitorio	vomitório
vomitorios	vomitórios
vomitos	vômitos
vomitotio	vomitório
vulnerarias	vulnerárias
